answer_llm,answer_orig,document,question,course
"If you haven't received a confirmation email after filling out the form, it's normal to experience a delay since the process is automated. Make sure to check your promotions tab in Gmail as well as your spam folder. If you unsubscribed from our newsletter, you won't receive course-related updates either.

To ensure you don't miss anything important, join the #course-ml-zoomcamp channel in Slack and our Telegram channel for announcements. This will help you stay updated with the course announcements and information.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it is possible that your confirmation email went to your spam folder. Please check your promotions tab in Gmail as well as your spam folder. If you have unsubscribed from our newsletter, you won't get course-related updates either. However, you can stay updated by joining the #course-ml-zoomcamp channel in Slack and our Telegram channel with announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Yes, unsubscribing from the newsletter can affect receiving course updates. According to the context, if you unsubscribe from the newsletter, you won't get course-related updates either. To ensure you don't miss any information, it's recommended that you join the #course-ml-zoomcamp channel in Slack and the course's Telegram channel with announcements. This should be sufficient to follow the course and stay updated.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"If you don’t receive the confirmation email for the course, it's important to check your promotions tab in Gmail as well as your spam folder. Additionally, if you had previously unsubscribed from the course newsletter, you won't receive course-related updates via email. However, you can still get all the necessary updates by joining the #course-ml-zoomcamp channel in Slack and the course's Telegram channel with announcements. This will ensure you stay informed about course-related information.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"If you're having email issues and want to stay informed about the course, you don't need to worry. You can join the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements. These platforms will ensure you receive all the necessary updates and information about the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months. However, it may take longer if you choose to participate in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"The course takes approximately 4 months, but it may take longer if you decide to engage in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Yes, the course can take more than 4 months if you choose to do some extra activities such as an extra project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"Based on the provided context, it does not explicitly state whether it is possible to officially extend the course duration. However, it is mentioned that the course takes approximately 4 months and may take more time if you engage in extra activities like additional projects or articles. 

Therefore, while the structured course duration isn't specified to be extendable, you have some flexibility in terms of how much extra time you want to take to complete additional activities.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
Extra activities that might extend the course time include completing an extra project or writing an article.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
You should allocate around ~10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time needed for different modules.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
Students of the previous cohort spent around ~10 hours per week on the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
The estimated weekly time commitment for the course is around 10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
"The detailed analysis of study time requirements, conducted by Timur Kamaliev, can be found in the full article mentioned in the course FAQ under the question ""How much time do I need for this course?"" in the General course-related questions section.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to complete and submit 2 out of the 3 course projects and review 3 of your peers' projects by the deadline. If you meet these criteria, you will be eligible for the course certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate for the course, you need to meet the following requirements:

1. Submit at least 2 out of the 3 projects.
2. Peer-review at least 3 course-mates’ projects for each project you submit.

If you meet these criteria by the deadline, you will be eligible to receive the course certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, you do not need to complete all projects to get a certificate. You only need to complete at least 2 out of the 3 projects and review at least 3 peers' projects for each submission to be eligible for the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
"In order to qualify for the certificate, you need to submit at least 2 out of 3 course projects and review 3 peers' projects by the specified deadline. If you manage to meet these requirements, even if you join the course later, such as at the end of November, you will still be eligible for a certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, it's possible to receive a certificate even if you don't complete the midterm project. To be eligible for a certificate, you need to complete at least 2 out of the 3 projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Yes, you can still graduate without submitting the midterm project. In order to be eligible for a certificate, you need to complete at least 2 out of the 3 course projects and review 3 peers’ projects by the deadline. Therefore, if you complete the other required projects, you will still be able to graduate and receive a certificate.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Yes, you are eligible for certification even if you missed the midterm project. To get a certificate, you need to complete at least 2 out of the 3 projects and review 3 peers' projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to complete the midterm project to obtain the certificate, as long as you complete at least two out of the three course projects and review three peers' projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"Yes, missing the midterm project does not automatically affect your certification eligibility. According to the course requirements, you need to complete at least two out of three projects (midterm and capstone included) and review at least three of your peers' projects for each submission. If you meet these criteria, you are still eligible to receive the course certificate.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"For this course, it's important to know some basic Python skills. Specifically, you should be comfortable with:

1. Running a Jupyter notebook.
2. Importing libraries and understanding what libraries are.
3. Declaring variables and understanding what variables are.
4. Performing key data analysis operations.

If you need a refresher or are unsure about your skills, you can refer to the article linked in the course resources or follow the ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform, which is free and covers these foundational topics.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"To learn the necessary Python knowledge for this course, you can follow the [Introduction to Python – Machine Learning Bookcamp](https://mlbookcamp.com/article/python) and the free English course available on the OpenClassrooms e-learning platform: **[Learn Python Basics for Data Analysis - OpenClassrooms](https://openclassrooms.com/en/courses/4525401)**. The OpenClassrooms course covers the basics you need, such as running a Jupyter notebook, importing libraries, declaring variables, and performing important operations for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"Knowing how to run a Jupyter notebook is important for this course because it is a foundational tool often used for interactive data analysis, visualization, and sharing results in data science and machine learning workflows. The ability to navigate and use Jupyter notebooks effectively is essential for executing course-related tasks, such as installing and using packages like Xgboost, running Python commands, and troubleshooting errors, all of which are directly addressed in the context provided. Furthermore, Jupyter notebooks are commonly used to write and test Python code in a more user-friendly interface, which supports the learning and application of machine learning concepts covered in the course.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"For this course, you should understand the following basic operations regarding data analysis:

1. **How to run a Jupyter notebook:** Being able to start, navigate, and execute code within a Jupyter notebook is essential.
2. **How to import libraries (and knowing what libraries are):** Understanding how to bring in external code libraries such as `pandas`, `numpy`, `matplotlib`, etc., which are essential for data manipulation and visualization.
3. **How to declare a variable (and knowing what variables are):** Knowing how to create and use variables to store data and results within your analysis.
4. **Beginners' level of Python for data analysis:** This includes selecting data, cleaning data, performing basic data manipulations, and carrying out exploratory data analysis (EDA).

If you're unsure about your Python skills, you can follow the English course from the OpenClassrooms e-learning platform—Learn Python Basics for Data Analysis, which is free and covers the necessary Python basics for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, you should focus on understanding the basics of Python. A good starting point is the ""Introduction to Python – Machine Learning Bookcamp"" and the ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform, which is free and covers the Python basics you need, including how to declare variables. 

Here is a link to start learning: [Learn Python Basics for Data Analysis - OpenClassrooms](https://openclassrooms.com/en/courses/learn-python-basics-for-data-analysis).","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"For the Machine Learning part of the course, you only need a working laptop with an internet connection. For the Deep Learning part, which is more resource-intensive, you can use cloud services. The course itself uses Saturn Cloud, but you can use any cloud provider.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"Yes, for the Machine Learning section, all you need is a working laptop with an internet connection.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. For the Machine Learning part, a working laptop with an internet connection is sufficient. In contrast, the Deep Learning part requires more resources, and it is recommended to use cloud services (such as Saturn Cloud) for this segment of the course.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
